CNPJ Entidade	Nome Entidade	N˙mero ConvÍnio	”rg„o Concedente	Motivo Impedimento
07467183000107	CENTRAL UNICA DAS FAVELAS DE FORTALEZA	636475	MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07467183000107	CENTRAL UNICA DAS FAVELAS DE FORTALEZA	655095	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07467183000107	CENTRAL UNICA DAS FAVELAS DE FORTALEZA	657248	MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA	INSTAURA«√O DE TCE
07468071000162	ASSOCIACAO DOS IRRIGANTES DO PERIMETRO IRRIGADO TABULEI	297604	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07468071000162	ASSOCIACAO DOS IRRIGANTES DO PERIMETRO IRRIGADO TABULEI	554291	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07471844000160	FEDERACAO DE CONVENTION & VISITORS BUREAUX DO ESTADO DE	563183	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
07471844000160	FEDERACAO DE CONVENTION & VISITORS BUREAUX DO ESTADO DE	748694	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07476514000167	MGLTM-MOVIMENTO DE GAYS, LESBICAS E TRANSGENEROS DE MAN	568219	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07494715000197	CENTRO DE ASSISTENCIA SOCIAL NOSSA SENHORA DA PIEDADE	748265	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
07515884000166	ODARA - CENTRO DE ACAO SOCIAL, CULTURAL E EDUCACIONAL	621604	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
07524475000126	ASSOCIACAO BAURU E REGIAO CONVENTION & VISITORS BUREAU	559287	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
07524475000126	ASSOCIACAO BAURU E REGIAO CONVENTION & VISITORS BUREAU	562921	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
07524475000126	ASSOCIACAO BAURU E REGIAO CONVENTION & VISITORS BUREAU	564041	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
07526797000104	INSTITUTO DE APOIO AOS JOVENS DO RIO DE JANEIRO	702095	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
07535104000140	LIGA INDEPENDENTE CULTURAL DAS ESCOLAS DE SAMBA DE SANT	554767	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
07543269000163	PLURAL BRASIL	734957	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07545145000117	REDE PARCEIROS DA TERRA - REPARTE	764670	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
07550585000162	ASSOCIACAO DOS AMIGOS DE QUITERIANOPOLIS	567284	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
07550679000131	ASSOCIACAO CULTURAL GOETHE DE PEDRAS GRANDES	708631	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07560145000196	INDESI BRASIL - INSTITUTO DE DESENVOLVIMENTO E INOVACAO	749559	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
07560145000196	INDESI BRASIL - INSTITUTO DE DESENVOLVIMENTO E INOVACAO	752704	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
07560145000196	INDESI BRASIL - INSTITUTO DE DESENVOLVIMENTO E INOVACAO	752706	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
07567822000106	ASSOCIACAO CENTRAL DOS IRRIGANTES DO PERIMENTRO IRRIGAD	554019	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07570624000193	CONSELHO AMBIENTAL COMUNITARIO ADMINISTRATIVO GAMA DIST	570638	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
07575105000118	COOPERATIVA DOS APICULTORES DE PALMAS LTDA. - COOAP	700315	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
07582191000196	ASSOCIACAO CIVIL DE DIREITO PRIVADO SEM FINS ECONOMICOS	586806	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07611938000197	ASSOCIACAO BRASILEIRA DO BEM ESTAR SOCIAL, TURISMO, INC	749729	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
07630669000106	FUNDACAO DE CULTURA ASSISTENCIA SOCIAL E SAUDE DA PARAI	703309	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07630669000106	FUNDACAO DE CULTURA ASSISTENCIA SOCIAL E SAUDE DA PARAI	703613	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07630669000106	FUNDACAO DE CULTURA ASSISTENCIA SOCIAL E SAUDE DA PARAI	703825	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07630669000106	FUNDACAO DE CULTURA ASSISTENCIA SOCIAL E SAUDE DA PARAI	705684	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07630669000106	FUNDACAO DE CULTURA ASSISTENCIA SOCIAL E SAUDE DA PARAI	733221	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07639736000153	GRUPO CULTURAL NUC - GC. NUC	623001	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07639736000153	GRUPO CULTURAL NUC - GC. NUC	726397	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
07642296000193	INSTITUTO DE DESENVOLVIMENTO E APOIO SOCIAL DO BRASIL I	749533	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
07645873000109	NUCLEO CULTURAL DIREITO AO SABER	579419	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
07650726000119	PULSAR - ORGANIZACAO SOCIAL	647466	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
07650726000119	PULSAR - ORGANIZACAO SOCIAL	717771	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
07662729000172	SINDICATO DAS INDUSTRIA DO MOBILIARIO NO ESTADO DO CEAR	581803	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07663511000132	FUNDACAO PROFESSOR JOAO RAMOS PEREIRA DA COSTA	397511	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07663511000132	FUNDACAO PROFESSOR JOAO RAMOS PEREIRA DA COSTA	397874	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07664851000188	INSTITUTO ECOPOLIS	703559	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07668711000188	INBRAEST - INTEGRACAO BRASILEIRA DE EDUCACAO SAUDE E TU	748914	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
07673560000156	COOPERATIVA REGIONAL DAS AGROINDUSTRIAS FAMILIARES ECOL	729844	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
07675908000144	ASSOCIACAO ESPORTE ABRACA CAMPINAS	750956	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
07681231000157	FEDERACAO INTERESTADUAL DOS MOTOTAXISTAS E MOTOBOYS AUT	736425	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
07681760000150	ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE S MENDES	540697	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
07681760000150	ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DE S MENDES	540706	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
07692996000192	ASSOCIACAO CULTURAL DE CAPACITACAO E INCLUSAO SOCIAL -	701848	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
07692996000192	ASSOCIACAO CULTURAL DE CAPACITACAO E INCLUSAO SOCIAL -	703249	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07697392000139	SINDICATO DOS SERVIDORES PUBLICOS DO MUNICIPIO DE RIALM	700140	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07714768000176	ASSOCICAO COMUNITARIA DIMENSAO JUVENTUDE - ASCODIJ	748076	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
07744670000161	ASSOCIACAO NACIONAL DOS COLETIVOS DE EMPRESARIOS E EMPR	538416	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07744686000174	INSTITUTO BRASIL SEMPRE A FRENTE	736659	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07752013000166	ORGANIZACAO DA SOCIEDADE PARA A INCLUSAO SOCIAL - CN100	703394	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07761858000118	ASSOCIACAO GRUPO GAY DE LAURO DE FREITAS	569038	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
07767307000161	PROJETO VIDA E ESPERANCA	721161	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
07772793000106	ASSOCIACAO DO PARQUE DE VAQUEJADA HIPOLITO RIBEIRO SOAR	592819	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
07778137000110	ASSOCIACAO TECNICO CIENTIFICA ENG PAULO DE FRONTIN	513102	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
