CNPJ Entidade	Nome Entidade	N˙mero ConvÍnio	”rg„o Concedente	Motivo Impedimento
00002444000166	SINDICATO REGIONAL DOS TRABALHADORES E TRABALHADORAS RU	629097	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
00002444000166	SINDICATO REGIONAL DOS TRABALHADORES E TRABALHADORAS RU	644382	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00008098000204	COOP AGROP MISTA DOS FRUTIC PAUL E GOIANOS ILTDA-FRUPEG	133483	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
00034304000170	ASSOCIACAO PROMOCIONAL IRMA MARIA DOLORES	523074	MINISTERIO DO TRABALHO	IRREGULARIDADES NA EXECU«√O
00034304000170	ASSOCIACAO PROMOCIONAL IRMA MARIA DOLORES	523148	MINISTERIO DO TRABALHO	IRREGULARIDADES NA EXECU«√O
00062712000135	APAE ASSOC.DE PAIS E AMIGOS DOS EXCEPCIONAIS C.VERDE	526939	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00077568000100	INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA	400364	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00077568000100	INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA	470940	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00084400000122	OBRAS DE ASSISTENCIA SOCIAL SAO RAFAEL	077797	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
00089788000154	FUND DE AP A PESQ AG DES E TREIN DE MAO DE OBRA DE PTU	114361	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00092199000125	FUNDACAO ENSINO TECNICO E PESQUISA INFORMATICA UBERABA	734484	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00093821000110	INSTITUTO BRASILEIRO DA FLORICULTURA IBRAFLOR	113965	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA EXECU«√O
00117144000122	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS S A GRAMA	466007	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
00118073000182	COOPAMASC COOP AGROP E MISTA DO SERTAO CENTRAL LTDA	116539	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00118073000182	COOPAMASC COOP AGROP E MISTA DO SERTAO CENTRAL LTDA	126614	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00148580000169	CETAP CENTRO TECNICO DE ASSESSORIA E PLANEJ COMUNITARIO	734355	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00162034000182	ASSOCIACAO PAIS E AMIGOS EXCEPCIONAIS APAE ANAURILANDIA	565043	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECU«√O
00163867000168	CCA-SP COOPERATIVA CENTRAL REFORMA AGRARIA EST S PAULO	480641	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00163867000168	CCA-SP COOPERATIVA CENTRAL REFORMA AGRARIA EST S PAULO	510196	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00178371000168	COLONIA DE PESCADORES Z 25	615275	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00178371000168	COLONIA DE PESCADORES Z 25	732259	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	435756	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	443070	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	520234	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	520235	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00189271000137	CASA DA PAZ	321331	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00197010000169	ASSOCIACAO DOS PEQ PRODUT RURAIS DAS COMUNIDADES ANHUMA	540700	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
00204293000129	FUNDACAO ISRAEL PINHEIRO	650416	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURA«√O DE TCE
00214423000104	ASSOCIACAO DA CONGADA DE CATALAO	577592	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00249183000183	ASSOCIACAO COMUNITARIA DA QE 19 DO GUARA II	577197	MINISTERIO DO ESPORTE	INSTAURA«√O DE TCE
00266319000163	ASSOCIACAO DOS MORADORES DO POVOADO ARERENGAUA	748028	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00273811000166	SOCIEDADE PESTALOZZI DO MUNICIPIO DE JERONIMO MONTEIRO	482857	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
00276143000120	FUN DE AMP A PESQ DE REC VIVOS NA ZONA ECONOM EXCLUSIVA	577867	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00278887000184	ASSOCIACAO LEGIONARIAS DOB ESTAR SOC BREJINHO DE NAZARE	040326	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	IRREGULARIDADES NA EXECU«√O
00278912000120	FUNDACAO DE APOIO A EDUCACAO E DESENV TECNOLOGICO DE MG	326803	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
00278912000120	FUNDACAO DE APOIO A EDUCACAO E DESENV TECNOLOGICO DE MG	651973	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
00287519000100	ASSOCIACAO BRASILEIRA DAS OPERADORAS DE TURISMO BRAZTOA	747212	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00290323000167	COOPERATIVA DOS PEQUENOS P AGROEXT DE VIANA LTDA	542733	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00312051000159	ASSOCIACO PARAENSE DE APOIO AS COMUNIDADES CARENTES	750557	MINISTERIO DOS DIREITOS HUMANOS	MOTIVO N√O ESPECIFICADO
00315554000188	ECAIG ESCOLA DE CAPOEIRA ANGOLA IRMAOS GEMEOS	533971	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00315795000127	C.B.M.T - CONFEDERACAO BRASILEIRA DE MUAY THAI (BOXE TA	700522	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
00316292000176	CONFEDERACAO BRASILEIRA DE BADMINTON	751780	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
00316711000170	SINDICATO DAS INDUSTRIAS DO VESTUARIO DO D.F	523608	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00319895000121	ASSOCIACAO DE PEQUENOS PRODUT DA FAZ SACO DO RIO PRETO	502297	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA EXECU«√O
00328406000106	COOP TRAB AUTONOMOS DO COMPLEXO DE MANGUINHOS LTDA	434801	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	466125	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	468544	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	468551	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	480647	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	489004	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	502268	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	513510	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	515323	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	534358	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURA«√O DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	574426	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
00340428000183	INSTITUTO AGRO-AMBIENTAL DO PARA - INAGRO	577202	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
00343575000107	ASSOCIACAO DOS PEQ AGRICULTORES DA FAZENDA MATANCA	317929	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00350334000195	SINDICATO DOS PRODUTORES DE FRUTAS DO ESTADO DO CEARA	311880	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00350334000195	SINDICATO DOS PRODUTORES DE FRUTAS DO ESTADO DO CEARA	334693	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00355863000181	ASSOCIACAO EXCOLA	638897	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA EXECU«√O
00361196000140	ACAO CRISTA PRO GENTE	513360	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00361196000140	ACAO CRISTA PRO GENTE	571339	MINISTERIO DO ESPORTE	IRREGULARIDADES NA EXECU«√O
00366849000183	INSTITUTO EUVALDO LODI DO DISTRITO FEDERAL	383663	MINISTERIO DAS CIDADES	IRREGULARIDADES NA EXECU«√O
00372066000102	TERRA MIRIM CENTRO DE LUZ	522718	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00375555000118	INSTITUTO MORRO DA CUTIA DE AGROECOLOGIA (IMCA)	648138	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00375555000118	INSTITUTO MORRO DA CUTIA DE AGROECOLOGIA (IMCA)	651564	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00375555000118	INSTITUTO MORRO DA CUTIA DE AGROECOLOGIA (IMCA)	703159	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
00375555000118	INSTITUTO MORRO DA CUTIA DE AGROECOLOGIA (IMCA)	742049	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
00391942000148	INSTITUTO DE PROMOCAO AGRICOLA E DESENVOLVIMENTO RURAL	374007	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
00394717000165	ASSOCIACAO BAHIANA DOS ARTISTAS INDEPENDENTES	585738	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	539703	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	592386	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	650883	MINISTERIO DO TURISMO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	700022	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	703166	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	703272	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	729126	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	734952	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	736277	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	736919	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	741707	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	742131	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	744043	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	748393	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	748415	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00419895000101	SINDICATO E ORGANIZACAO DAS COOPERATIVAS DO DISTRITO FE	611067	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00426922000165	INSTITUTO EQUIPE DE EDUCADORES POPULARES	516858	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00426922000165	INSTITUTO EQUIPE DE EDUCADORES POPULARES	703132	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00435989000166	CEDRO MULHER CENTRO DE DEFESA DOS DIREITOS DA MULHER	725694	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
00438998000100	INSTITUTO AGOSTIN CASTEJON	638260	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00438998000100	INSTITUTO AGOSTIN CASTEJON	700258	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
00445858000160	ASSOCIACAO RECREATIVA UNIDOS DO CRUZEIRO	629821	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00448283000139	SINDICATO ESTADUAL DOS GUIAS DE TURISMO DO CEARA	453080	MINISTERIO DO TURISMO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00454504000181	FEDERACAO BRASILIENSE DE UMBANDA E CANDOMBLE	601794	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00487651000158	PREFEITURA DOS CONDOMINIOS DO SETOR DE DIVERSOES SUL	608983	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00487651000158	PREFEITURA DOS CONDOMINIOS DO SETOR DE DIVERSOES SUL	636472	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00487651000158	PREFEITURA DOS CONDOMINIOS DO SETOR DE DIVERSOES SUL	700173	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
00495905000180	INSTITUTO DESERT	383527	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00495905000180	INSTITUTO DESERT	383709	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
00497284000173	FUNDACAO BENEFICENTE SIMININO	344225	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00497826000108	ASSOCIACAO DE GARANTIA AO ATLETA PROFISSIONAL DO DF	501787	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00503348000100	INSTITUTO PAULISTA DE ENSINO E CULTURA IPEC SAO PAULO	408499	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
00505867000107	ASSOCIACAO DOS SERVIDORES DO TRIBUNAL DE CONTAS DA UNIA	518049	MINISTERIO DO ESPORTE	INSTAURA«√O DE TCE
00509220000145	COPERATIVA AGRICOLA MISTA DO PROJETO ONCA LTDA	550860	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00516203000135	CENTRO DE TRADICOES POPULARES	311301	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00522998000194	INSTITUTO VIDA ADOLESCENCIA E CIDADANIA	742019	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
00528170000143	ASSOC.DOS MORADORES CARENTES MOITA BONITA	748566	MINISTERIO DA SAUDE	MOTIVO N√O ESPECIFICADO
00531541000146	FUNDACAO FRANCO BRASILEIRA DE PESQUISA E DESENVOLVIMENT	406421	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
00532332000117	ASS.NAC.DE TRAB.EM EMPR.DE AUTO GESTAO E PART.ACIONARIA	576610	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
00532332000117	ASS.NAC.DE TRAB.EM EMPR.DE AUTO GESTAO E PART.ACIONARIA	652930	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
00532332000117	ASS.NAC.DE TRAB.EM EMPR.DE AUTO GESTAO E PART.ACIONARIA	653041	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
00533086000118	ASSOCIACAO COMUNITARIA RURAL QUILOMBOLA	577602	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
00540831000156	SOCIEDADE BRASILEIRA DE CARDIOLOGIA/DISTRITO FEDERAL	629411	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
00544763000101	ASSOCIACAO CULTURAL DE MULHERES NEGRAS-ACMUA	804898	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
00550543000182	ASSOCIACAO BRASILEIRA DOS CLUBES DA MELHOR IDADE DA BAH	634106	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
00574228000195	BRIGADA MIRIM	701033	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
00577621000132	CENTRO DE EST. E COOP. BRASIL CONT. AFRICANO E DISPORA	528376	MINISTERIO DOS DIREITOS HUMANOS	INSTAURA«√O DE TCE
00579818000100	ASSOCIACAO BENEFICENTE CRISTA	497513	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
00579818000100	ASSOCIACAO BENEFICENTE CRISTA	497961	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
00579818000100	ASSOCIACAO BENEFICENTE CRISTA	507092	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00579818000100	ASSOCIACAO BENEFICENTE CRISTA	507093	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
00580977000125	ASSOCIACAO DE MULHERES DE NEGOCIOS E PROF DO DF	633854	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00598061000100	CAMPO COOPERATIVA AGRIC MISTA DOS PROD DE OEIRAS LTDA	415959	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
00608893000152	SOCIEDADE CIVIL MEMORIAL JUSCELINO KUBITSCHEK	417266	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00608893000152	SOCIEDADE CIVIL MEMORIAL JUSCELINO KUBITSCHEK	424343	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00608893000152	SOCIEDADE CIVIL MEMORIAL JUSCELINO KUBITSCHEK	521511	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
00615475000192	FUNDACAO EDUCACIONAL ANTONIO DADALTO	515515	MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA	IRREGULARIDADES NA EXECU«√O
00615475000192	FUNDACAO EDUCACIONAL ANTONIO DADALTO	539245	MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA	IRREGULARIDADES NA EXECU«√O
00619461000147	FUNDACAO RIO MADEIRA	428219	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
00619461000147	FUNDACAO RIO MADEIRA	432906	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
00619461000147	FUNDACAO RIO MADEIRA	472651	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	472652	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	490396	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	499268	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
00619461000147	FUNDACAO RIO MADEIRA	513849	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
00619461000147	FUNDACAO RIO MADEIRA	522311	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	528228	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
00619461000147	FUNDACAO RIO MADEIRA	528475	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
00619461000147	FUNDACAO RIO MADEIRA	542834	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	543330	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	544576	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	562440	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
00619461000147	FUNDACAO RIO MADEIRA	566233	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	571072	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECU«√O
00619461000147	FUNDACAO RIO MADEIRA	572647	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
00619461000147	FUNDACAO RIO MADEIRA	577963	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	588557	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	590152	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	590307	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	590324	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	590328	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	590431	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
00619461000147	FUNDACAO RIO MADEIRA	590446	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
